source_dataset,source_row_id,label_3intent,target_freq_no_invest,target_freq_call,target_freq_raise
solver_policy,5f5ff6726e56ea79aa654cc41c390cd66c03f62a,NO_INVEST,0.7874127874,0.2122652123,0.0003220003
solver_policy,041e2e726d4442c11e0fd9fb60447ba83cbdf0d1,NO_INVEST,0.8007648008,0.1989131989,0.0003220003
solver_policy,0419589ea368e12ad81923a4f70222a6ce038720,NO_INVEST,0.7835417836,0.2161362161,0.0003220003
solver_policy,c9611ba489afc38bce75d014fa4744ee66c04fcd,RAISE,0.0001610002,0.1707991708,0.829039829
solver_policy,22ba0ee80bce43f9f9d47ddf02dcdcf0c1c9c03e,NO_INVEST,0.7728837729,0.2267942268,0.0003220003
solver_policy,9c88abab5dee782606d6e85734d4cfb0d8853d7a,NO_INVEST,0.6148376149,0.3848403848,0.0003220003
solver_policy,53433454e563bedad01a736e995be42b46d2877b,NO_INVEST,0.623018623,0.3766593767,0.0003220003
solver_policy,975242a18ddb3360ad8a9c3767da930bc993ca88,NO_INVEST,0.7905637906,0.2091142091,0.0003220003
solver_policy,6bff342149b6d929bbb56b0a2257ce545abbaf57,NO_INVEST,0.7728837729,0.2267942268,0.0003220003
solver_policy,1abf18e64bd5c9ea334f2927f5034679a99db66a,NO_INVEST,0.619082,0.380596,0.000322
solver_policy,904a6bcf000fa68742f520cea2e4df512bbb15f4,NO_INVEST,0.6148376149,0.3848403848,0.0003220003
solver_policy,3c4ebbf4ecfa83eb131ce744e55ff087cf9bab3e,NO_INVEST,0.7821077821,0.2175702176,0.0003220003
solver_policy,8dd056673cb9ded7abdf436e3d238328c30619b6,NO_INVEST,0.795876,0.203802,0.000322
solver_policy,fa939478b8ded8c74ace6aa97d51627d37d864f5,NO_INVEST,0.772406,0.227272,0.000322
