features.hero_position,features.pot_bb,features.to_call_bb,features.effective_stack_bb,features.can_check,features.can_call,features.can_raise,features.players_active,features.equity_win,features.call_max_bb,features.call_margin_bb,features.bet_size_bb
OOP,0.16,0.0,1.0,1.0,0.0,1.0,2.0,0.3856666667,0.1004449268,0.1004449268,0.0528
OOP,0.16,0.0,1.0,1.0,0.0,1.0,2.0,0.3083333333,0.0713253012,0.0713253012,0.0528
OOP,0.2,0.0,1.0,1.0,0.0,1.0,2.0,0.347,0.1062787136,0.1062787136,0.066
OOP,0.2,0.0,1.0,1.0,0.0,1.0,2.0,0.429,0.150262697,0.150262697,0.066
OOP,0.2,0.0,1.0,1.0,0.0,1.0,2.0,0.3083333333,0.0891566265,0.0891566265,0.066
IP,0.2,0.06,1.0,0.0,1.0,1.0,2.0,0.3423333333,0.1041054232,0.0441054232,0.06
IP,0.2,0.06,1.0,0.0,1.0,1.0,2.0,0.3516666667,0.1084832905,0.0484832905,0.06
IP,0.16,0.06,1.0,0.0,1.0,1.0,2.0,0.485,0.1506796116,0.0906796116,0.06
IP,0.24,0.06,1.0,0.0,1.0,1.0,2.0,0.72,0.6171428571,0.5571428571,0.06
OOP,0.12,0.06,1.0,0.0,1.0,1.0,2.0,0.395,0.0783471074,0.0183471074,0.06
OOP,0.24,0.02,1.0,0.0,1.0,1.0,2.0,0.598,0.3570149254,0.3370149254,0.02
OOP,0.12,0.06,1.0,0.0,1.0,1.0,2.0,0.4726666667,0.1075600506,0.0475600506,0.06
OOP,0.16,0.02,1.0,0.0,1.0,1.0,2.0,0.626,0.2678074866,0.2478074866,0.02
OOP,0.16,0.04,1.0,0.0,1.0,1.0,2.0,0.4383333333,0.1248664688,0.0848664688,0.04
